word,french
abatardissez,1
abatardissiez,1
abatardissions,1
abatardissons,1
abatardit,1
abatardites,1
abats,1
abattage,1
abattages,1
abattaient,1
abattais,1
abattait,1
abattant,1
abattants,1
abattement,1
abattements,1
abattez,1
abattiez,1
abattimes,1
abattions,1
abattirent,1
abattis,1
abattisse,1
abattissent,1
abattisses,1
abattissiez,1
abattissions,1
abattit,1
abattites,1
abattoir,1
abattoirs,1
abattra,1
abattrai,1
abattraient,1
abattrais,1
abattrait,1
abattras,1
abattre,1
abattrez,1
abattriez,1
abattrions,1
abattrons,1
abattront,1
abattu,1
abattue,1
abattues,1
abattures,1
abattus,1
abbatial,1
abbatiale,1
abbatiales,1
abbatiaux,1
abbaye,1
abbayes,1
abbe,1
abbes,1
abbesse,1
abbesses,1
abces,1
abdication,1
abdications,1
abdiqua,1
abdiquai,1
abdiquaient,1
abdiquais,1
abdiquait,1
abdiquames,1
abdiquant,1
abdiquas,1
abdiquasse,1
abdiquassent,1
abdiquasses,1
abdiquassiez,1
abdiquassions,1
abdiquat,1
abdiquates,1
abdique,1
abdiquee,1
abdiquees,1
abdiquent,1
abdiquer,1
abdiquera,1
abdiquerai,1
abdiqueraient,1
abdiquerais,1
abdiquerait,1
abdiqueras,1
abdiquerent,1
abdiquerez,1
abdiqueriez,1
abdiquerions,1
abdiquerons,1
abdiqueront,1
abdiques,1
abdiquez,1
abdiquiez,1
abdiquions,1
abdiquons,1
abdomen,1
abdomens,1
abdominal,1
abdominale,1
abdominales,1
abdominaux,1
abducteur,1
abducteurs,1
abduction,1
abductions,1
abeille,1
abeilles,1
aberrant,1
aberrante,1
aberrantes,1
aberrants,1
aberration,1
aberrations,1
abeti,1
abetie,1
abeties,1
abetimes,1
abetir,1
abetira,1
abetirai,1
abetiraient,1
abetirais,1
abetirait,1
abetiras,1
abetirent,1
abetirez,1
abetiriez,1
abetirions,1
abetirons,1
abetiront,1
abetis,1
abetissaient,1
abetissais,1
abetissait,1
abetissant,1
abetissante,1
abetissantes,1
abetissants,1
abetissement,1
abetissements,1
abetissent,1
abetisses,1
abetissez,1
abetissiez,1
abetissions,1
abetissons,1
abetit,1
abetites,1
abhorra,1
abhorrai,1
abhorraient,1
abhorrais,1
abhorrait,1
abhorrames,1
abhorrant,1
abhorras,1
abhorrasse,1
abhorrassent,1
abhorrasses,1
abhorrassiez,1
abhorrassions,1
abhorrat,1
abhorrates,1
abhorre,1
abhorree,1
abhorrees,1
abhorrent,1
abhorrer,1
abhorrera,1
abhorrerai,1
abhorreraient,1
abhorrerais,1
abhorrerait,1
abhorreras,1
abhorrerent,1
abhorrerez,1
abhorreriez,1
abhorrerions,1
abhorrerons,1
abhorreront,1
abhorres,1
abhorrez,1
abhorriez,1
abhorrions,1
abhorrons,1
abima,1
abimai,1
abimaient,1
abimais,1
abimait,1
abimames,1
abimant,1
abimas,1
abimasse,1
abimassent,1
abimasses,1
abimassiez,1
abimassions,1
abimat,1
abimates,1
abime,1
abimee,1
abimees,1
abiment,1
abimer,1
abimera,1
abimerai,1
abimeraient,1
abimerais,1
abimerait,1
abimeras,1
abimerent,1
abimerez,1
abimeriez,1
abimerions,1
abimerons,1
abimeront,1
abimes,1
abimez,1
abimiez,1
abimions,1
abimons,1
abject,1
abjecte,1
abjectes,1
abjection,1
abjections,1
abjects,1
abjura,1
abjurai,1
abjuraient,1
abjurais,1
abjurait,1
abjurames,1
abjurant,1
abjuras,1
abjurasse,1
abjurassent,1
abjurasses,1
abjurassiez,1
abjurassions,1
abjurat,1
abjurates,1
abjuration,1
abjurations,1
abjure,1
abjuree,1
abjurees,1
abjurent,1
abjurer,1
abjurera,1
abjurerai,1
abjureraient,1
abjurerais,1
abjurerait,1
abjureras,1
abjurerent,1
abjurerez,1
abjureriez,1
abjurerions,1
abjurerons,1
abjureront,1
abjures,1
abjurez,1
abjuriez,1
abjurions,1
abjurons,1
ablatif,1
ablation,1
ablations,1
ablette,1
ablettes,1
ablution,1
ablutions,1
abnegation,1
abnegations,1
aboi,1
aboie,1
aboiement,1
aboiements,1
aboient,1
aboiera,1
aboierai,1
aboieraient,1
aboieraiez,1
aboieraions,1
aboierais,1
aboierait,1
aboieras,1
aboierez,1
aboierons,1
aboieront,1
aboies,1
abois,1
aboli,1
abolie,1
abolies,1
abolimes,1
abolir,1
abolira,1
abolirai,1
aboliraient,1
abolirais,1
abolirait,1
aboliras,1
abolirent,1
abolirez,1
aboliriez,1
abolirions,1
abolirons,1
aboliront,1
abolis,1
abolissaient,1
abolissais,1
abolissait,1
abolissant,1
abolisse,1
abolissent,1
abolisses,1
abolissez,1
abolissiez,1
abolissions,1
abolissons,1
abolit,1
abolites,1
abolition,1
abolitionnisme,1
abolitionniste,1
abolitionnistes,1
abolitions,1
abomina,1
abominable,1
abominablement,1
abominables,1
abominai,1
abominaient,1
abominais,1
abominait,1
abominames,1
abominant,1
abominas,1
abominasse,1
abominassent,1
abominasses,1
abominassiez,1
abominassions,1
abominat,1
abominates,1
abomination,1
abominations,1
abomine,1
abominee,1
abominees,1
abominent,1
abominer,1
abominera,1
abominerai,1
abomineraient,1
abominerais,1
abominerait,1
abomineras,1
abominerent,1
abominerez,1
abomineriez,1
abominerions,1
abominerons,1
abomineront,1
abomines,1
abominez,1
abominiez,1
abominions,1
abominons,1
abonda,1
abondai,1
abondaient,1
abondais,1
abondait,1
abondames,1
abondamment,1
abondance,1
abondances,1
abondant,1
abondante,1
abondantes,1
abondants,1
abondas,1
abondasse,1
abondassent,1
abondasses,1
abondassiez,1
abondassions,1
abondat,1
abondates,1
abonde,1
abondee,1
abondees,1
abondent,1
abonder,1
abondera,1
abonderai,1
abonderaient,1
abonderais,1
abonderait,1
abonderas,1
abonderent,1
abonderez,1
abonderiez,1
abonderions,1
abonderons,1
abonderont,1
abondes,1
abondez,1
abondiez,1
abondions,1
abondons,1
abonna,1
abonnai,1
abonnaient,1
abonnais,1
abonnait,1
abonnames,1
abonnant,1
abonnas,1
abonnasse,1
abonnassent,1
abonnasses,1
abonnassiez,1
abonnassions,1
abonnat,1
abonnates,1
abonne,1
abonnee,1
abonnees,1
abonnement,1
abonnements,1
abonnent,1
abonner,1
abonnera,1
abonnerai,1
abonneraient,1
abonnerais,1
abonnerait,1
abonneras,1
abonnerent,1
abonnerez,1
abonneriez,1
abonnerions,1
abonnerons,1
abonneront,1
abonnes,1
abonnez,1
abonni,1
abonnie,1
abonnies,1
abonniez,1
abonnimes,1
abonnions,1
abonnir,1
abonnira,1
abonnirai,1
abonniraient,1
abonnirais,1
abonnirait,1
abonniras,1
abonnirent,1
abonnirez,1
abonniriez,1
abonnirions,1
abonnirons,1
abonniront,1
abonnis,1
abonnissaient,1
abonnissais,1
abonnissait,1
abonnissant,1
abonnisse,1
abonnissent,1
abonnisses,1
abonnissez,1
abonnissiez,1
abonnissions,1
abonnissons,1
abonnit,1
abonnites,1
abonnon,1
abonnons,1
abord,1
aborda,1
abordable,1
abordables,1
abordage,1
abordages,1
abordai,1
abordaient,1
abordais,1
abordait,1
abordames,1
abordant,1
abordas,1
abordasse,1
abordassent,1
abordasses,1
abordassiez,1
abordassions,1
abordat,1
abordates,1
aborde,1
abordee,1
abordees,1
abordent,1
aborder,1
abordera,1
aborderai,1
aborderaient,1
aborderais,1
aborderait,1
aborderas,1
aborderent,1
aborderez,1
aborderiez,1
aborderions,1
aborderons,1
aborderont,1
abordes,1
abordez,1
abordiez,1
abordions,1
abordons,1
abords,1
aborigene,1
aborigenes,1
abortif,1
abortifs,1
abortive,1
abortives,1
aboucha,1
abouchai,1
abouchaient,1
abouchais,1
abouchait,1
abouchames,1
abouchant,1
abouchas,1
abouchasse,1
abouchassent,1
abouchasses,1
abouchassiez,1
abouchassions,1
abouchat,1
abouchates,1
abouche,1
abouchee,1
abouchees,1
abouchent,1
aboucher,1
abouchera,1
aboucherai,1
aboucheraient,1
aboucherais,1
aboucherait,1
aboucheras,1
aboucherent,1
aboucherez,1
aboucheriez,1
aboucherions,1
aboucherons,1
aboucheront,1
abouches,1
abouchez,1
abouchiez,1
abouchions,1
abouchons,1
aboulie,1
aboulies,1
aboulique,1
abouliques,1
abouti,1
aboutie,1
abouties,1
aboutimes,1
aboutir,1
aboutira,1
aboutiraient,1
aboutirais,1
aboutirait,1
aboutiras,1
aboutirent,1
aboutirez,1
aboutiriez,1
aboutirions,1
aboutirons,1
aboutiront,1
aboutis,1
aboutissaient,1
aboutissais,1
aboutissait,1
aboutissant,1
aboutissants,1
aboutisse,1
aboutissement,1
aboutissements,1
aboutissent,1
aboutisses,1
aboutissez,1
aboutissiez,1
aboutissions,1
aboutissons,1
aboutit,1
aboutites,1
aboya,1
aboyai,1
aboyaient,1
aboyais,1
aboyait,1
aboyames,1
aboyant,1
aboyasse,1
aboyassent,1
aboyasses,1
aboyassiez,1
aboyassions,1
aboyat,1
aboyates,1
aboye,1
aboyee,1
aboyees,1
aboyer,1
aboyerent,1
aboyes,1
aboyeur,1
aboyeurs,1
aboyeuse,1
aboyeuses,1
aboyez,1
aboyiez,1
aboyions,1
aboyons,1
abracadabrant,1
abracadabrante,1
abracadabrantes,1
abracadabrants,1
abrasif,1
abrasifs,1
abrasion,1
abrasions,1
abrasive,1
abrasives,1
abrege,1
abregea,1
abregeai,1
abregeaient,1
abregeais,1
abregeait,1
abregeames,1
abregeant,1
abregeas,1
abregeasse,1
abregeassent,1
abregeasses,1
abregeassiez,1
abregeassions,1
abregeat,1
abregeates,1
abregee,1
abregees,1
abregement,1
abregements,1
abregent,1
abregeons,1
abreger,1
abregera,1
abregerai,1
abregeraient,1
abregerais,1
abregerait,1
abregeras,1
abregerent,1
abregerez,1
abregeriez,1
abregerions,1
abregerons,1
abregeront,1
abreges,1
abregez,1
abregiez,1
abregions,1
abreuva,1
abreuvai,1
abreuvaient,1
abreuvais,1
abreuvait,1
abreuvames,1
abreuvant,1
abreuvas,1
abreuvasse,1
abreuvassent,1
abreuvasses,1
abreuvassiez,1
abreuvassions,1
abreuvat,1
abreuvates,1
abreuve,1
abreuvee,1
abreuvees,1
abreuvent,1
abreuver,1
abreuvera,1
abreuverai,1
abreuveraient,1
abreuverais,1
abreuverait,1
abreuveras,1
abreuverent,1
abreuverez,1
abreuveriez,1
abreuverions,1
abreuverons,1
abreuveront,1
abreuves,1
abreuvez,1
abreuviez,1
abreuvions,1
abreuvoir,1
abreuvoirs,1
abreuvons,1
abreviatif,1
abreviatifs,1
abreviation,1
abreviations,1
abreviative,1
abreviatives,1
abri,1
abricot,1
abricotier,1
abricotiers,1
abricots,1
abris,1
abrita,1
abritai,1
abritaient,1
abritais,1
abritait,1
abritames,1
abritant,1
abritas,1
abritasse,1
abritassent,1
abritasses,1
abritassiez,1
abritassions,1
abritat,1
abritates,1
abrite,1
abritee,1
abritees,1
abritent,1
abriter,1
abritera,1
abriterai,1
abriteraient,1
abriterais,1
abriterait,1
abriteras,1
abriterent,1
abriterez,1
abriteriez,1
abriterions,1
abriterons,1
abriteront,1
abrites,1
abritez,1
abritiez,1
abritions,1
abritons,1
abrogation,1
abrogations,1
abroge,1
abrogea,1
abrogeai,1
abrogeaient,1
abrogeais,1
abrogeait,1
abrogeames,1
abrogeant,1
abrogeas,1
abrogeasse,1
abrogeassent,1
abrogeasses,1
abrogeassiez,1
abrogeassions,1
abrogeat,1
abrogeates,1
abrogee,1
abrogees,1
abrogent,1
abrogeons,1
abroger,1
abrogera,1
abrogerai,1
abrogeraient,1
abrogerais,1
abrogerait,1
abrogeras,1
abrogerent,1
abrogerez,1
abrogeriez,1
abrogerions,1
abrogerons,1
abrogeront,1
abroges,1
abrogez,1
abrogiez,1
abrogions,1
abrupt,1
abrupte,1
abruptes,1
abrupts,1
abruti,1
abrutie,1
abruties,1
abrutimes,1
abrutir,1
abrutira,1
abrutirai,1
abrutiraient,1
abrutirais,1
abrutirait,1
abrutiras,1
abrutirent,1
abrutirez,1
abrutiriez,1
abrutirions,1
abrutirons,1
abrutiront,1
abrutis,1
abrutissaient,1
abrutissais,1
abrutissait,1
abrutissant,1
abrutissante,1
abrutissantes,1
abrutissants,1
abrutisse,1
abrutissement,1
abrutissements,1
abrutissent,1
abrutisses,1
abrutissez,1
abrutissiez,1
abrutissions,1
abrutissons,1
abrutit,1
abrutites,1
abscisse,1
abscisses,1
absence,1
absences,1
absent,1
absenta,1
absentai,1
absentaient,1
absentais,1
absentait,1
absentames,1
absentant,1
absentas,1
absentasse,1
absentassent,1
absentasses,1
absentassiez,1
absentassions,1
absentat,1
absentates,1
absente,1
absentee,1
absentees,1
absenteisme,1
absentent,1
absenter,1
absentera,1
absenterai,1
absenteraient,1
absenterais,1
absenterait,1
absenteras,1
absenterent,1
absenterez,1
absenteriez,1
absenterions,1
absenterons,1
absenteront,1
absentes,1
absentez,1
absentiez,1
absentions,1
absentons,1
absents,1
abside,1
absides,1
absinthe,1
absolu,1
absolue,1
absolues,1
absolument,1
absolus,1
absolution,1
absolutions,1
absolutisme,1
absolutiste,1
absolutistes,1
absolvaient,1
absolvais,1
absolvait,1
absolvant,1
absolve,1
absolvent,1
absolves,1
absolvez,1
absolviez,1
absolvions,1
absolvons,1
absorba,1
absorbai,1
absorbaient,1
absorbais,1
absorbait,1
absorbames,1
absorbant,1
absorbante,1
absorbantes,1
absorbants,1
absorbas,1
absorbasse,1
absorbassent,1
absorbasses,1
absorbassiez,1
absorbassions,1
absorbat,1
absorbates,1
absorbe,1
absorbee,1
absorbees,1
absorbent,1
absorber,1
absorbera,1
absorberai,1
absorberaient,1
absorberais,1
absorberait,1
absorberas,1
absorberent,1
absorberez,1
absorberiez,1
absorberions,1
absorberons,1
absorberont,1
absorbes,1
absorbez,1
absorbiez,1
absorbions,1
absorbons,1
absorption,1
absorptions,1
absoudra,1
absoudrai,1
absoudraient,1
absoudrais,1
absoudrait,1
absoudras,1
absoudre,1
absoudrez,1
absoudriez,1
absoudrions,1
absoudrons,1
absoudront,1
absous,1
absout,1
absoute,1
absoutes,1
abstenaient,1
abstenais,1
abstenait,1
abstenant,1
abstenez,1
absteniez,1
abstenions,1
abstenir,1
abstenons,1
abstention,1
abstentionniste,1
abstentionnistes,1
abstentions,1
abstenu,1
abstenue,1
abstenues,1
abstenus,1
abstiendra,1
abstiendrai,1
abstiendraient,1
abstiendrais,1
abstiendrez,1
abstiendriez,1
abstiendrions,1
abstiendrons,1
abstiendront,1
abstienne,1
abstiennent,1
abstiennes,1
abstiens,1
abstient,1
abstinence,1
abstinences,1
abstinent,1
abstinente,1
abstinentes,1
abstinents,1
abstinmes,1
abstinrent,1
abstins,1
abstinsse,1
abstinssent,1
abstinsses,1
abstinssiez,1
abstinssions,1
abstint,1
abstintes,1
abstraction,1
abstractions,1
abstraie,1
abstraient,1
abstraies,1
abstraira,1
abstrairai,1
abstrairaient,1
abstrairais,1
abstrairait,1
abstrairas,1
abstraire,1
abstrairez,1
abstrairiez,1
abstrairions,1
abstrairons,1
abstrairont,1
abstrais,1
abstrait,1
abstraite,1
abstraitement,1
abstraites,1
abstraits,1
abstrayaient,1
abstrayais,1
abstrayait,1
abstrayant,1
abstrayez,1
abstrayiez,1
abstrayions,1
abstrayons,1
absurde,1
absurdement,1
absurdes,1
absurdite,1
absurdites,1
abus,1
abusa,1
abusai,1
abusaient,1
abusais,1
abusait,1
abusames,1
abusant,1
abusas,1
abusasse,1
abusassent,1
abusasses,1
abusassiez,1
abusassions,1
abusat,1
abusates,1
abuse,1
abusee,1
abusees,1
abusent,1
abuser,1
abusera,1
abuserai,1
abuseraient,1
abuserais,1
abuserait,1
abuseras,1
abuserent,1
abuserez,1
abuseriez,1
abuserions,1
abuserons,1
abuseront,1
abuses,1
abusez,1
abusiez,1
abusif,1
abusifs,1
abusions,1
abusive,1
abusivement,1
abusives,1
abusons,1
abyssal,1
abyssale,1
abyssales,1
abyssaux,1
abysse,1
abysses,1
abyssin,1
abyssine,1
abyssines,1
abyssinie,1
abyssins,1
acabit,1
acabits,1
acacia,1
acacias,1
academicien,1
academicienne,1
academiciennes,1
academiciens,1
academie,1
academies,1
academique,1
academiquement,1
academiques,1
acajou,1
acanthe,1
acanthes,1
acariatre,1
acariatres,1
accabla,1
accablai,1
accablaient,1
accablais,1
accablait,1
accablames,1
accablant,1
accablante,1
accablantes,1
accablants,1
accablas,1
accablasse,1
accablassent,1
accablasses,1
accablassiez,1
accablassions,1
accablat,1
accablates,1
accable,1
accablee,1
accablees,1
accablement,1
accablements,1
accablent,1
accabler,1
accablera,1
accablerai,1
accableraient,1
accablerais,1
accablerait,1
accableras,1
accablerent,1
accablerez,1
accableriez,1
accablerions,1
accablerons,1
accableront,1
accables,1
accablez,1
accabliez,1
accablions,1
accablons,1
accalmie,1
accalmies,1
accapara,1
accaparai,1
accaparaient,1
accaparais,1
accaparait,1
accaparames,1
accaparant,1
accaparas,1
accaparasse,1
accaparassent,1
accaparasses,1
accaparassiez,1
accaparassions,1
accaparat,1
accaparates,1
accapare,1
accaparee,1
accaparees,1
accaparement,1
accaparements,1
accaparent,1
accaparer,1
accaparera,1
accaparerai,1
accapareraient,1
accaparerais,1
accaparerait,1
accapareras,1
accaparerent,1
accaparerez,1
accapareriez,1
accaparerions,1
accaparerons,1
accapareront,1
accapares,1
accapareur,1
accapareurs,1
accapareuse,1
accapareuses,1
accaparez,1
accapariez,1
accaparions,1
accaparons,1
accastillage,1
accastillages,1
acceda,1
accedai,1
accedaient,1
accedais,1
accedait,1
accedames,1
accedant,1
accedas,1
accedasse,1
accedassent,1
accedasses,1
accedassiez,1
accedassions,1
accedat,1
accedates,1
accede,1
accedee,1
accedees,1
accedent,1
acceder,1
accedera,1
accederai,1
accederaient,1
accederais,1
accederait,1
accederas,1
accederent,1
accederez,1
accederiez,1
accederions,1
accederons,1
accederont,1
accedes,1
accedez,1
accediez,1
accedions,1
accedons,1
accelera,1
accelerai,1
acceleraient,1
accelerais,1
accelerait,1
accelerames,1
accelerant,1
acceleras,1
accelerasse,1
accelerassent,1
accelerasses,1
accelerassiez,1
accelerassions,1
accelerat,1
accelerates,1
accelerateur,1
accelerateurs,1
acceleration,1
accelerations,1
acceleratrice,1
acceleratrices,1
accelere,1
acceleree,1
accelerees,1
accelerent,1
accelerer,1
accelerera,1
accelererai,1
accelereraient,1
accelererais,1
accelererait,1
accelereras,1
accelererent,1
accelererez,1
accelereriez,1
accelererions,1
accelererons,1
accelereront,1
acceleres,1
accelerez,1
acceleriez,1
accelerions,1
accelerons,1
accent,1
accents,1
accentua,1
accentuai,1
accentuaient,1
accentuais,1
accentuait,1
accentuames,1
accentuant,1
accentuas,1
accentuasse,1
accentuassent,1
accentuasses,1
accentuassiez,1
accentuassions,1
accentuat,1
accentuates,1
accentuation,1
accentuations,1
accentue,1
accentuee,1
accentuees,1
accentuent,1
accentuer,1
accentuera,1
accentuerai,1
accentueraient,1
accentuerais,1
accentuerait,1
accentueras,1
accentuerent,1
accentuerez,1
accentueriez,1
accentuerions,1
accentuerons,1
accentueront,1
accentues,1
accentuez,1
accentuiez,1
accentuions,1
accentuons,1
accepta,1
acceptable,1
acceptables,1
acceptai,1
acceptaient,1
acceptais,1
acceptait,1
acceptames,1
acceptant,1
acceptas,1
acceptasse,1
acceptassent,1
acceptasses,1
acceptassiez,1
acceptassions,1
acceptat,1
acceptates,1
acceptation,1
acceptations,1
accepte,1
acceptee,1
acceptees,1
acceptent,1
accepter,1
acceptera,1
accepterai,1
accepteraient,1
accepterais,1
accepterait,1
accepteras,1
accepterent,1
accepterez,1
accepteriez,1
accepterions,1
accepterons,1
accepteront,1
acceptes,1
acceptez,1
acceptiez,1
acception,1
acceptions,1
acceptons,1
acces,1
accessible,1
accessibles,1
accession,1
accessions,1
accessit,1
accessoire,1
accessoirement,1
accessoires,1
accessoiriste,1
accessoiristes,1
accident,1
accidenta,1
accidentai,1
accidentaient,1
accidentais,1
accidentait,1
accidentames,1
accidentant,1
accidentas,1
accidentasse,1
accidentassent,1
accidentasses,1
accidentassiez,1
accidentassions,1
accidentat,1
accidentates,1
accidente,1
accidentee,1
accidentees,1
accidentel,1
accidentelle,1
accidentellement,1
accidentelles,1
accidentels,1
accidentent,1
accidenter,1
accidentera,1
accidenterai,1
accidenteraient,1
accidenterais,1
accidenterait,1
accidenteras,1
accidenterent,1
accidenterez,1
accidenteriez,1
accidenterions,1
accidenterons,1
accidenteront,1
accidentes,1
accidentez,1
accidentiez,1
accidentions,1
accidentons,1
accidents,1
acclama,1
acclamai,1
acclamaient,1
acclamais,1
acclamait,1
acclamames,1
acclamant,1
acclamas,1
acclamasse,1
acclamassent,1
acclamasses,1
acclamassiez,1
acclamassions,1
acclamat,1
acclamates,1
acclamation,1
acclamations,1
acclame,1
acclamee,1
acclamees,1
acclament,1
acclamer,1
acclamera,1
acclamerai,1
acclameraient,1
acclamerais,1
acclamerait,1
acclameras,1
acclamerent,1
acclamerez,1
acclameriez,1
acclamerions,1
acclamerons,1
acclameront,1
acclames,1
acclamez,1
acclamiez,1
acclamions,1
acclamons,1
acclimata,1
acclimatai,1
acclimataient,1
acclimatais,1
acclimatait,1
acclimatames,1
acclimatant,1
acclimatas,1
acclimatasse,1
acclimatassent,1
acclimatasses,1
acclimatassiez,1
acclimatassions,1
acclimatat,1
acclimatates,1
acclimatation,1
acclimatations,1
acclimate,1
acclimatee,1
acclimatees,1
acclimatent,1
acclimater,1
acclimatera,1
acclimaterai,1
acclimateraient,1
acclimaterais,1
acclimaterait,1
acclimateras,1
acclimaterent,1
acclimaterez,1
acclimateriez,1
acclimaterions,1
acclimaterons,1
acclimateront,1
acclimates,1
acclimatez,1
acclimatiez,1
acclimations,1
acclimatons,1
accointa,1
accointai,1
accointaient,1
accointais,1
accointait,1
accointames,1
accointance,1
accointances,1
accointas,1
accointasse,1
accointassent,1
accointasses,1
accointassiez,1
accointassions,1
accointat,1
accointates,1
accointe,1
accointee,1
accointees,1
accointent,1
accointer,1
accointera,1
accointerai,1
accointeraient,1
accointerais,1
accointerait,1
accointeras,1
accointerent,1
accointerez,1
accointeriez,1
accointerions,1
accointerons,1
accointeront,1
accointes,1
accointez,1
accointiez,1
accointions,1
accointons,1
accola,1
accolade,1
accolades,1
accolai,1
accolaient,1
accolais,1
accolait,1
accolames,1
accolant,1
accolas,1
accolasse,1
accolassent,1
accolasses,1
accolassiez,1
accolassions,1
accolat,1
accolates,1
accole,1
accolee,1
accolees,1
accolent,1
accoler,1
accolera,1
accolerai,1
accoleraient,1
accolerais,1
accolerait,1
accoleras,1
accolerent,1
accolerez,1
accoleriez,1
accolerions,1
accolerons,1
accoleront,1
accoles,1
accolez,1
accoliez,1
accolions,1
accolons,1
accommoda,1
accommodai,1
accommodaient,1
accommodais,1
accommodait,1
accommodames,1
accommodant,1
accommodante,1
accommodantes,1
accommodants,1
accommodas,1
accommodasse,1
accommodassent,1
accommodasses,1
accommodassiez,1
accommodassions,1
accommodat,1
accommodates,1
accommodateur,1
accommodateure,1
accommodateures,1
accommodateurs,1
accommodation,1
accommodations,1
accommode,1
accommodee,1
accommodees,1
accommodement,1
accommodements,1
accommodent,1
accommoder,1
accommodera,1
accommoderai,1
accommoderaient,1
accommoderais,1
accommoderait,1
accommoderas,1
accommoderent,1
accommoderez,1
accommoderiez,1
accommoderions,1
accommoderons,1
accommoderont,1
accommodes,1
accommodez,1
accommodiez,1
accommodions,1
accommodons,1
accompagna,1
accompagnai,1
accompagnaient,1
accompagnais,1
accompagnait,1
accompagnames,1
accompagnant,1
accompagnas,1
accompagnasse,1
accompagnassent,1
accompagnasses,1
accompagnassiez,1
accompagnassions,1
accompagnat,1
accompagnates,1
accompagnateur,1
accompagnateurs,1
accompagnatrice,1
accompagnatrices,1
accompagne,1
accompagnee,1
accompagnees,1
accompagnement,1
accompagnements,1
accompagnent,1
accompagner,1
accompagnera,1
accompagnerai,1
accompagneraient,1
accompagnerais,1
accompagnerait,1
accompagneras,1
accompagnerent,1
accompagnerez,1
accompagneriez,1
accompagnerions,1
accompagnerons,1
accompagneront,1
accompagnes,1
accompagnez,1
accompagniez,1
accompagnions,1
accompagnons,1
accompli,1
accomplie,1
accomplies,1
accomplimes,1
accomplir,1
accomplira,1
accomplirai,1
accompliraient,1
accomplirais,1
accomplirait,1
accomplirant,1
accompliras,1
accomplirent,1
accomplirez,1
accompliriez,1
accomplirions,1
accomplirons,1
accompliront,1
accomplis,1
accomplissaient,1
accomplissais,1
accomplissait,1
accomplissant,1
accomplisse,1
accomplissement,1
accomplissements,1
accomplissent,1
accomplisses,1
accomplissez,1
accomplissiez,1
accomplissions,1
accomplissons,1
accomplit,1
accomplites,1
accord,1
accorda,1
accordage,1
accordages,1
accordai,1
accordaient,1
accordais,1
accordait,1
accordames,1
accordant,1
accordas,1
accordasse,1
accordassent,1
accordasses,1
accordassiez,1
accordassions,1
accordat,1
accordates,1
accorde,1
accordee,1
accordees,1
accordent,1
accordeon,1
accordeoniste,1
accordeonistes,1
accordeons,1
accorder,1
accordera,1
accorderai,1
accorderaient,1
accorderais,1
accorderait,1
accorderas,1
accorderent,1
accorderez,1
accorderiez,1
accorderions,1
accorderons,1
accorderont,1
accordes,1
accordeur,1
accordeurs,1
accordez,1
accordiez,1
accordions,1
accordons,1
accords,1
accorte,1
accortes,1
accosta,1
accostage,1
accostages,1
accostai,1
accostaient,1
accostais,1
accostait,1
accostames,1
accostant,1
accostas,1
